DATE,USD,CAN,EUR
30-Nov-19,0.68277,0.903785,0.61776
31-Dec-19,0.688739,0.907146,0.619878
31-Jan-20,0.686675,0.89807,0.618485
29-Feb-20,0.666451,0.885075,0.610508
31-Mar-20,0.62205,0.865734,0.562428
30-Apr-20,0.631032,0.886708,0.580672
31-May-20,0.652247,0.912003,0.59651
30-Jun-20,0.689429,0.934659,0.612601
31-Jul-20,0.702418,0.948891,0.613113
31-Aug-20,0.720165,0.953642,0.609069
30-Sep-20,0.722585,0.955137,0.612964
31-Oct-20,0.713215,0.942049,0.605922
30-Nov-20,0.727723,0.951892,0.614581
31-Dec-20,0.753888,0.965903,0.619143
31-Jan-21,0.771538,0.98213,0.634315
28-Feb-21,0.775399,0.984375,0.641113
31-Mar-21,0.770893,0.968917,0.647635
30-Apr-21,0.769792,0.962184,0.643337
31-May-21,0.775923,0.941697,0.638822
30-Jun-21,0.763824,0.933985,0.634432
31-Jul-21,0.742405,0.928911,0.627801
31-Aug-21,0.73025,0.920287,0.620412
30-Sep-21,0.732241,0.927762,0.621923
31-Oct-21,0.740364,0.921128,0.638412
30-Nov-21,0.729688,0.918067,0.639256
31-Dec-21,0.715415,0.915623,0.632885
31-Jan-22,0.717548,0.905032,0.633745
28-Feb-22,0.716453,0.911517,0.631382
31-Mar-22,0.737927,0.933765,0.67043
30-Apr-22,0.735774,0.929585,0.680718
31-May-22,0.704928,0.905607,0.666775
30-Jun-22,0.702644,0.900379,0.664894
31-Jul-22,0.685952,0.887199,0.67312
31-Aug-22,0.695654,0.898848,0.687854
30-Sep-22,0.669108,0.890487,0.674914
31-Oct-22,0.635892,0.872086,0.646681
30-Nov-22,0.661812,0.884945,0.64723
31-Dec-22,0.674747,0.917613,0.637217
31-Jan-23,0.695193,0.933243,0.644758
28-Feb-23,0.688502,0.926623,0.643208
31-Mar-23,0.667484,0.914482,0.623141
30-Apr-23,0.668288,0.903299,0.608056
31-May-23,0.664104,0.898443,0.610449
30-Jun-23,0.672073,0.893259,0.619694
31-Jul-23,0.672935,0.889925,0.608945
31-Aug-23,0.648152,0.873914,0.593919
30-Sep-23,0.64261,0.870459,0.601534
31-Oct-23,0.634462,0.870183,0.600532
30-Nov-23,0.649909,0.891067,0.600712
31-Dec-23,0.670184,0.898242,0.613705
31-Jan-24,0.664315,0.891529,0.608822
29-Feb-24,0.652371,0.880518,0.604431
31-Mar-24,0.655655,0.888088,0.603172
30-Apr-24,0.650476,0.89014,0.606619
31-May-24,0.663067,0.905878,0.613003
30-Jun-24,0.664446,0.910921,0.617395
31-Jul-24,0.667661,0.915608,0.615117
31-Aug-24,0.665395,0.90921,0.603724
30-Sep-24,0.677176,0.917403,0.609549
28-Oct-24,0.671845,0.923218,0.616269
